Year,Title,Authors,Link
1980,Preface,"Howe, Jr., Hubert S.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.001/1
1980,Subscore Manipulation as a Tool for Compositional and Sonic Design,"Laske, Otto",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.002/1
1980,A Space Grammar for the Stochastic Generation of Multi-Dimensional Structures,"Jones, Kevin",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.003/1
1980,Timbral Construction as a Stochastic Process,"Truax, Barry",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.004/1
1980,Instructional Applications of Computer Music,"Peelle, Howard A.; Smith, Stuart",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.005/1
1980,“OBJED” and the Design of Timbral Resources,"Buxton, W.; Patel, S.; Reeves, W.; Baecker, R.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.006/1
1980,On the Specification of Scope in Interactive Score Editors,"Buxton, W.; Patel, S.; Reeves, W.; Baecker, R.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.007/1
1980,A Microprocessor Controlled Clavier,"Federkow, G.; Buxton, W.; Patel, S.; Smith, K. C.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.008/1
1980,A Microprocessor-based Conducting System,"Buxton, W.; Reeves, W.; Fedorkow, G.; Smith, K.C.; Baecker, R.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.009/1
1980,PROD: A Grammar Based Computer Composition System,"Green, M.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.010/1
1980,Using the SSSP System: Reflections on One Composer's Experience,"Montgomery, James",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.011/1
1980,Approximation and Syntactic Analysis of Amplitude and Frequency Functions for Digital Sound Synthesis,"Strawn, John",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.012/1
1980,Sonic Transliteration Applied to Descriptive Music Notation,"Potter, Charles E.; Teaney, Dale",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.013/1
1980,"SYCOM's Studio A, an Integrated Environment for Electronic and Computer Music","Albers, Brad",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.014/1
1980,Computer Audio Research Laboratory Report,"Moore, F. Richard",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.015/1
1980,Computer Music at the Institute of Cybernetics of the University of Milan,"Haus, Goffredo",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.016/1
1980,Composer-Centered Development -- A Studio Report from Pittsburgh,"Slawson, Wayne",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.017/1
1980,Computer Studio Report: Tri-College Group for Electronic Music and Related Research,"Fuller, Wesley",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.018/1
1980,The SCORE Program for Musical Input to Computers,"Smith, Leland",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.019/1
1980,Musical Data Structures in a Multi-Use Environment,"Clements, Peter J.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.020/1
1980,A Binomial Representation of the Pitch Parameter for Computer Processing of Musical Data,"Brinkman, Alexander R.",https://quod.lib.umich.edu/i/icmc/bbp2372.1980.021/1
